acceptDate,dqspzt,place,proName,prodName,sFile,sName,sp_date
2016/4/28 0:00,已审批,太原市万柏林区,西外环北延、西环高速西侧规划路道排工程 ,太原市龙城发展投资有限公司 ,http://hbj.taiyuan.gov.cn/uploadfiles/ows_project/201642816352316316.pdf,太原市环境科学研究院,2016/5/13 0:00
2016/4/28 0:00,已审批,太原市万柏林区,西外环西延（西机路-西铭路三岔口）工程 ,太原市龙城发展投资有限公司 ,http://hbj.taiyuan.gov.cn/uploadfiles/ows_project/201642816365815361.pdf,太原市环境科学研究院,2016/5/13 0:00
2016/4/28 0:00,已审批,太原市杏花岭区,太原动物园改造工程 ,太原动物园 ,http://hbj.taiyuan.gov.cn/uploadfiles/ows_project/201642817541274008.pdf,山西清源环境咨询有限公司,2016/5/13 0:00
2016/4/27 0:00,已审批,太原市晋源区,太原市南堰城市生活垃圾压缩转运站升级改造工程,太原市市容环境卫生管理局,http://hbj.taiyuan.gov.cn/uploadfiles/ows_project/2016427147375507.pdf,中核新能核工业有限责任公司,2016/5/12 0:00
